shrid,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,winner,vote_share_diff,dynastic,dynastic_1,dynast_3,num_cells,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,max_light2013,ec13_district_name.x
11-06-063433,Haryana,15,10,2009,4,0,4,1,avtar singh bhadana,M,INC,257864,GEN,624937,1103046,faridabad,GEN,NA,23,56.66,41.26,no,68201,10.91,3.45,GEHR44130,National Party,3482,TRUE,6,INC,3482,FARIDABAD,TRUE,TRUE,4,FALSE,TRUE,TRUE,8th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),1,10.91,0,1,1,23,529,657.5,37.5,670.5,855,43,948,1036,56,61,faridabad
11-06-063433,Haryana,13,6,1999,9,0,3,2,zakir hussain,M,INC,333594,GEN,745484,1330157,faridabad,GEN,NA,12,56.04,44.75,no,296549,39.78,2.27,GEHR69750,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,1,1,23,529,657.5,37.5,670.5,855,43,948,1036,56,61,faridabad
11-06-063433,Haryana,14,6,2004,4,0,3,2,mohd. ilyas,M,INLD,205355,GEN,844718,1546578,faridabad,GEN,NA,14,54.62,24.31,no,33641,3.98,3.45,GEHR301121,State-based Party,3863,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,23,529,657.5,37.5,670.5,855,43,948,1036,56,61,faridabad
11-06-063433,Haryana,14,6,2004,4,0,3,1,avtar singh bhadana,M,INC,357284,GEN,844718,1546578,faridabad,GEN,NA,14,54.62,42.3,no,151929,17.99,3.45,GEHR44130,National Party,3482,TRUE,5,INC,3482,MEERUT,FALSE,TRUE,3,FALSE,TRUE,TRUE,8th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),1,17.99,0,1,1,23,529,657.5,37.5,670.5,855,43,948,1036,56,61,faridabad
11-06-063433,Haryana,13,6,1999,9,0,3,1,ram chander bainda,M,BJP,367842,GEN,745484,1330157,faridabad,GEN,NA,12,56.04,49.34,no,34248,4.59,2.27,GEHR54233,National Party,1605,TRUE,3,BJP,1605,FARIDABAD,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,4.59,0,0,0,23,529,657.5,37.5,670.5,855,43,948,1036,56,61,faridabad
11-06-063433,Haryana,15,10,2009,4,0,4,2,ramchander bainda,M,BJP,189663,GEN,624937,1103046,faridabad,GEN,NA,23,56.66,30.35,no,76210,12.19,3.45,GEHR54233,National Party,1605,TRUE,5,BJP,1605,FARIDABAD,TRUE,TRUE,3,FALSE,FALSE,TRUE,Others,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,23,529,657.5,37.5,670.5,855,43,948,1036,56,61,faridabad
11-08-064089,Rajasthan,15,1,2009,4,0,4,1,bharat ram meghwal,M,INC,476554,SC,909629,1491983,ganganagar,SC,NA,15,60.97,52.39,no,140668,15.46,2.44,GERJ8968,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),1,15.46,1,0,1,9,61.5,74.5,7.5,60.5,81,7.5,75,91,10,13,ganganagar
11-08-064089,Rajasthan,14,1,2004,4,0,3,1,nihalchand meghwal,M,BJP,331475,SC,722938,1337857,ganganagar,SC,NA,8,54.04,45.85,no,7393,1.02,2.44,GERJ58627,National Party,1605,TRUE,4,BJP,1605,GANGANAGAR,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),1,1.02,0,0,0,9,61.5,74.5,7.5,60.5,81,7.5,75,91,10,13,ganganagar
11-08-064089,Rajasthan,14,1,2004,4,0,3,2,bharatram,M,INC,324082,SC,722938,1337857,ganganagar,SC,NA,8,54.04,44.83,no,298938,41.35,2.44,GERJ76460,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),0,NA,0,0,0,9,61.5,74.5,7.5,60.5,81,7.5,75,91,10,13,ganganagar
11-08-064089,Rajasthan,13,1,1999,9,0,3,1,nihal chand,M,BJP,358104,SC,665090,1269075,ganganagar,SC,NA,7,52.41,53.84,no,95886,14.42,2.22,GERJ58627,National Party,1605,TRUE,3,BJP,1605,GANGANAGAR,TRUE,TRUE,2,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1,14.41,0,0,0,9,61.5,74.5,7.5,60.5,81,7.5,75,91,10,13,ganganagar
