State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,district,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,total_light1996,total_light_cal1996,max_light1996,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,total_light2013,total_light_cal2013,max_light2013,pc91_pca_tot_p,pc01_pca_tot_p,pc11_pca_tot_p,pc96_pca_tot_p,pc99_pca_tot_p,pc04_pca_tot_p,pc09_pca_tot_p,pc14_pca_tot_p,vote_share_diff,population,total_light_diff,max_light_diff,total_light_cal_diff,education,year_1996,year_1999,year_2004,year_2009,dynast_wiki,dynast_pdf,dynast
Uttar_Pradesh,11,45,1996,4,0,3,1,RAMA KANT YADAV,1,SP,161586,GEN,581958,1205790,azamgarh,GEN,NA,37,48.26,27.77,no,22081,3.79,5,GEUP100180,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),15364,19280,9163,4494,5702,3005.5,5301,9427.5,3494,5119,10525,3551,12553,18403,8164,2658841,3350075,3924168,3004458,3211828.2,3522302.9,3809349.4,4133490.549999997,3.8000000000000007,3004458,-1.2292839367205204,-1.1147296924859962,-1.2182512986919178,NA,1,0,0,0,0,1,1
Uttar_Pradesh,11,45,1996,4,0,3,2,RAM KRISHNA YADAV,1,BSP,139505,NA,581958,1205790,azamgarh,GEN,NA,37,48.26,23.97,no,44365,7.62,5,GEUP61731,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),15364,19280,9163,4494,5702,3005.5,5301,9427.5,3494,5119,10525,3551,12553,18403,8164,2658841,3350075,3924168,3004458,3211828.2,3522302.9,3809349.4,4133490.549999997,-3.8000000000000007,3004458,-1.2292839367205204,-1.1147296924859962,-1.2182512986919178,NA,1,0,0,0,0,0,0
Uttar_Pradesh,11,81,1996,4,0,3,1,AJIT SINGH,1,INC,348600,GEN,661298,1271152,baghpat,GEN,NA,30,52.02,52.71,no,198891,30.08,2.78,AEUP202253,National Party,3482,FALSE,3,JD,4217,BAGHPAT,TRUE,FALSE,3,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),11184,14139,2242,6736.5,8584.5,1464.5,7202,10047,1473.5,9510,11524,2024,15650,13451,3032,1026094,1157188,1297288,1091641,1130969.2,1199218,1269268,1336466.0999999978,30.07,1091641,-0.5069436832776901,-0.4258544373643174,-0.4989786850745741,NA,1,0,0,0,1,1,1
Uttar_Pradesh,11,81,1996,4,0,3,2,MUKHIA GURJAR,1,SP,149709,NA,661298,1271152,baghpat,GEN,NA,30,52.02,22.64,no,56081,8.48,2.78,GEUP63174,State-based Party,7425,FALSE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),11184,14139,2242,6736.5,8584.5,1464.5,7202,10047,1473.5,9510,11524,2024,15650,13451,3032,1026094,1157188,1297288,1091641,1130969.2,1199218,1269268,1336466.0999999978,-30.07,1091641,-0.5069436832776901,-0.4258544373643174,-0.4989786850745741,NA,1,0,0,0,0,0,0
Uttar_Pradesh,11,32,1996,4,0,3,1,SATYADEV SINGH,1,BJP,166132,GEN,530183,1136223,balrampur,GEN,NA,66,46.66,31.33,no,57590,10.86,5.56,GEBR84318,National Party,1605,TRUE,6,BJP,1605,BALRAMPUR,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),3716,4687,1337,2415.5,3163.5,822,2159.5,4713,758,8120,12299,2777,4344,10712,1432,1343538,1652856,2111867,1498197,1590992.4,1790559.3,2020064.8,2202167.5166666806,10.86,1498197,-0.43074151593926846,-0.48644318204576376,-0.3931137093357666,NA,1,0,0,0,0,0,0
Uttar_Pradesh,11,32,1996,4,0,3,2,AKBAL HUSAIN,1,SP,108542,NA,530183,1136223,balrampur,GEN,NA,66,46.66,20.47,no,9423,1.78,5.56,GEUP61219,State-based Party,7425,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),3716,4687,1337,2415.5,3163.5,822,2159.5,4713,758,8120,12299,2777,4344,10712,1432,1343538,1652856,2111867,1498197,1590992.4,1790559.3,2020064.8,2202167.5166666806,-10.86,1498197,-0.43074151593926846,-0.48644318204576376,-0.3931137093357666,NA,1,0,0,0,0,1,1
Uttar_Pradesh,11,59,1996,4,0,3,1,RAM SAJEEVAN SINGH,1,BSP,125778,GEN,358642,1112281,banda,GEN,NA,45,32.24,35.07,no,9171,2.56,4.17,GEUP17530,State-based Party,16651,TRUE,5,CPI,2444,BANDA,TRUE,FALSE,2,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),5102,6447,1035,4989.5,6304,1013.5,6084.5,10722.5,1161,3395,9111,593,8094,16340,1588,1234729,1497778,1794247,1366253.5,1445168.2,1586718.7,1734953.2,1872604.6999999955,2.5600000000000023,1366253.5,-0.022296915377390647,-0.020991739807414866,-0.022430553772904815,NA,1,0,0,0,0,1,1
Uttar_Pradesh,11,59,1996,4,0,3,2,PRAKASH NARAYAN,1,BJP,116607,GEN,358642,1112281,banda,GEN,NA,45,32.24,32.51,no,75576,21.07,4.17,GEUP48759,National Party,1605,TRUE,2,BJP,1605,BANDA,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),5102,6447,1035,4989.5,6304,1013.5,6084.5,10722.5,1161,3395,9111,593,8094,16340,1588,1234729,1497778,1794247,1366253.5,1445168.2,1586718.7,1734953.2,1872604.6999999955,-2.5600000000000023,1366253.5,-0.022296915377390647,-0.020991739807414866,-0.022430553772904815,NA,1,0,0,0,0,0,0
Assam,11,6,1996,4,0,3,1,UDDHAB BARMAN,1,CPM,250451,GEN,681489,857358,barpeta,GEN,NA,8,79.49,36.75,no,67503,9.91,4,GEAS35580,National Party,14635,TRUE,3,CPM,14635,BARPETA,TRUE,TRUE,2,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),3726,4700,1534,2541.5,3273,1110,2446.5,4323,1004.5,3169,5705,1312,3876,7442,1635,1118856,1363827,1651956,1241341.5,1314832.8,1450265.7,1594330.2,1724728,9.899999999999999,1241341.5,-0.3825808142745757,-0.3235186876208216,-0.3618555131969696,NA,1,0,0,0,0,0,0
Assam,11,6,1996,4,0,3,2,ABDUS SAMAD AHMED,1,UMFA,182948,GEN,681489,857358,barpeta,GEN,NA,8,79.49,26.85,no,80923,11.87,4,GEAS51845,Local Party,13028,TRUE,1,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),3726,4700,1534,2541.5,3273,1110,2446.5,4323,1004.5,3169,5705,1312,3876,7442,1635,1118856,1363827,1651956,1241341.5,1314832.8,1450265.7,1594330.2,1724728,-9.899999999999999,1241341.5,-0.3825808142745757,-0.3235186876208216,-0.3618555131969696,NA,1,0,0,0,0,1,1
