State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,district,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,total_light1996,total_light_cal1996,max_light1996,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,total_light2013,total_light_cal2013,max_light2013,pc91_pca_tot_p,pc01_pca_tot_p,pc11_pca_tot_p,pc96_pca_tot_p,pc99_pca_tot_p,pc04_pca_tot_p,pc09_pca_tot_p,pc14_pca_tot_p,vote_share_diff,population,total_light_diff,max_light_diff,total_light_cal_diff,education,year_1996,year_1999,year_2004,year_2009,Andhra_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Goa,Gujarat,Haryana,Himachal_Pradesh,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya_Pradesh,Maharashtra,Odisha,Puducherry,Punjab,Rajasthan,Tamil_Nadu,Uttar_Pradesh,Uttarakhand,West_Bengal,dynast_wiki,dynast_pdf,dynast,dynast_2004,dynast_1999,transition
Gujarat,15,10,2009,4,0,4,1,kuvarjibhai mohanbhai bavalia,1,INC,307553,GEN,649606,1455072,rajkot,GEN,NA,27,44.64,47.34,no,24735,3.81,2.44,AEGJ101142,National Party,3482,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),83331,103942,6367,96858.5,117507.5,7588.5,75378.5,100599.5,5661,84161,100332,6679,113106,100476,9064,2497488,3154707,3803502,2826097.5,3023263.2,3349345.5,3673743,4000808.100000009,3.8000000000000043,2826097.5,0.2955938010647454,0.30534224798220677,0.001434206054373277,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil_Nadu,15,35,2009,4,0,4,1,sivakumar @ j.k. ritheesh. k,1,DMK,294945,GEN,777839,1133391,ramanathapuram,GEN,NA,15,68.63,37.92,no,69915,8.99,4,GETN10968,State-based Party,10192,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),11587,14491,1578,16590,20971,1940.5,19457,26877.5,1917.5,22648,27676,2341,26210,25707,2788,863522,1113720,1264782,988621,1063680.4,1159038.6,1234569.6,1341493.6666666642,8.990000000000002,988621,0.14606946952571676,0.17474630438950456,-0.07380228328147354,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Uttar_Pradesh,15,7,2009,4,0,4,1,jaya prada nahata,0,SP,230724,GEN,606177,1154544,rampur,GEN,RUHELKHAND,16,52.5,38.06,no,30931,5.1,3.57,GEUP77316,State-based Party,7425,TRUE,2,SP,7425,RAMPUR,TRUE,TRUE,2,FALSE,TRUE,TRUE,12th Pass,Other,NA,NA,NA,Lok Sabha Election (GE),15964,19976,5521,10044,12233,3311,9132,12958,2927,10655,14096,3441,22048,20313,7565,1460141,1878771,2274922,1669456,1795045,1997616.3,2195691.8,2400885.649999991,5.100000000000001,1669456,0.727192629280669,0.7877702204249761,0.3653700059777929,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jharkhand,15,8,2009,4,0,4,1,subodh kant sahay,1,INC,310499,GEN,724106,1625148,ranchi,GEN,NA,26,44.56,42.88,no,13350,1.84,2.86,GEBR30232,National Party,3482,TRUE,5,INC,3482,RANCHI,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),12031,15065,2070,11662,14021,2068.5,15257.5,21932.5,2714.5,22203,29513,4181,29223,31531,5972,1781131,2293516,2847183,2037323.5,2191039,2459616.1,2736449.6,3000210.4666666687,1.8400000000000034,2037323.5,0.27472865557348847,0.3565314273025155,0.0661403446383737,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar_Pradesh,15,1,2009,4,0,4,1,jagdish singh rana,1,BSP,354807,GEN,821122,1298132,saharanpur,GEN,WEST,15,63.25,43.21,no,84873,10.34,3.12,AEUP118609,State-based Party,16651,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),20423,25418,6014,12726,15829.5,3518.5,22148.5,29678,6024,27536,32568,7842,24429,23987,7046,2206547,2754916,3397098,2480731.5,2645242.2,2947570.6,3268661.6,3560045.149999991,10.340000000000003,2480731.5,-0.11972328831607904,-0.10703382395109351,-0.305818194273785,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
Tamil_Nadu,15,15,2009,4,0,4,1,semmalai s,1,ADMK,380460,GEN,895554,1171839,salem,GEN,NA,23,76.42,42.48,no,46491,5.19,2.94,GETN271133,State-based Party,930,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),35838,45311,5377,44741,54738.5,6643.5,39191,51345,5852.5,55032,63406,8444,62822,51150,9663,1733814,2048826,2357248,1891320,1985823.6,2141352.6,2295563.6,2451861.4333333373,5.189999999999998,1891320,0.13239049637458855,0.13484802903109738,-0.214796001791699,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bihar,15,23,2009,4,0,4,1,maheshwar hazari,1,JD(U),259458,SC,584743,1312948,samastipur,SC,NA,11,44.54,44.37,no,104376,17.85,3.45,GEBR80352,State-based Party,11002,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Post Graduate,Other,NA,NA,NA,Lok Sabha Election (GE),3985,5035,1743,2906,3628.5,1353.5,3818,6567.5,1569,3449,6932,1482,13617,15356,4920,2571030,3192519,4000210,2881774.5,3068221.2,3434826.3,3838671.8,4183553.3333333433,17.849999999999998,2881774.5,1.3732346781877336,1.1999160036303218,0.7953579052851918,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Maharashtra,15,44,2009,4,0,4,1,pratik prakashbapu patil,1,INC,378620,GEN,776830,1490571,sangli,GEN,NA,14,52.12,48.74,no,39783,5.12,2.33,GEMH82786,National Party,3482,TRUE,2,INC,3482,SANGLI,TRUE,TRUE,2,FALSE,TRUE,TRUE,Others,Other,NA,NA,NA,Lok Sabha Election (GE),54371,68468,5127,63489,77830,5883.5,46304.5,63507,4280.5,48405,60702,5143,83694,74307,7476,2067903,2566550,2809686,2317226.5,2466820.6,2639490.8,2761058.8,2963538.6166666746,5.1200000000000045,2317226.5,0.5475641761661194,0.3740613228005376,0.20222851348558635,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,15,45,2009,4,0,4,1,bhonsle shrimant chh. udyanraje pratapsinhmaharaj,1,NCP,532583,GEN,816646,1546146,satara,GEN,NA,5,52.82,65.22,no,297515,36.43,1.96,AEMH96605,State-based Party,5792,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Others,Other,NA,NA,NA,Lok Sabha Election (GE),63417,79853,9832,70393.5,86448.5,11036,51387,71142.5,7980,57801,72360,10259,92430,84524,14445,2406578,2662282,2862220,2534430,2611141.2,2722263.4,2822232.4,2939860.6333333403,36.44,2534430,0.46944552470995404,0.3421929648126234,0.155381857177586,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,15,14,2009,4,0,4,1,b.y. raghavendra,1,BJP,482783,GEN,954407,1435908,shimoga,GEN,NA,12,66.47,50.58,no,52893,5.54,2.17,AEKA51,National Party,1605,TRUE,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,FALSE,Graduate Professional,Other,NA,NA,NA,Lok Sabha Election (GE),16730,21025,3516,17333.5,21363.5,3699,20740,30672,4092,24209,34255,5155,33449,39872,7023,1404668,1626675,1734395,1515671.5,1582273.6,1658991,1712851,1802901.8833333328,5.539999999999999,1515671.5,0.3232974259100292,0.30922335970796055,0.15184178371012536,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
